64	0	12	12222119	9	pv-i	"생각,감정이 생기다"			行く	가다	1006	1211112	학문분야/학과	과목	科目	이/가	1303	122113331	사랑	애정	愛情	이/가												
65	0	12	12222119	9	pv-i	"생각,감정이 생기다"			行く	가다	1006	1211112	학문분야/학과	과목	科目	이/가	1404	12211733	관심	관심	関心	이/가												
66	0	12	12222119	9	pv-i	"생각,감정이 생기다"			行く	가다	1006	1211112	학문분야/학과	과목	科目	이/가	1407	12211742	이해	이해	理解	이/가												
67	0	13	12222112	6	pv-i	생기다			できる	가다	884	113226131	창호	창틀	窓枠	에	2573	123654	틈	금	ひび	이												
68	0	13	12222112	6	pv-i	생기다			できる	가다	884	113226131	창호	창틀	窓枠	에	2573	123654	틈	틈	隙間	이												
69	0	13	12222112	6	pv-i	생기다			入る	가다	878	1132261224	벽	벽	壁	에	2573	123654	틈	금	ひび	이												
70	0	13	12222112	6	pv-i	생기다			入る	가다	878	1132261224	벽	벽	壁	에	2573	123654	틈	틈	隙間	이												
71	0	13	12222112	6	pv-i	생기다			開く	가다	2573	123654	틈	사이	隙間	에	2573	123654	틈	금	ひび	이												
72	0	13	12222112	6	pv-i	생기다			開く	가다	2573	123654	틈	사이	隙間	에	2573	123654	틈	틈	隙間	이												
73	0	16		3	pv-i	변하다			冷める	가다	1253	122113	감정	열정	情熱	이/가																		
74	0	16		3	pv-i	변하다			冷める・消える	가다	1253	122113	감정	정열	情熱	이/가																		
75	0	16		3	pv-i	변하다			変わる	가다	2356	12231127	맛	맛	味	이/가																		
76	0	16		3	pv-i	변하다			過ぎる	가다				한물		이/가																		
77	0	17		12	pv-i	죽다			行く	가다	5	11111	인간			이/가							462	11224	세계	저 세상	あの世	에/에게/로						
78	0	17		12	pv-i	죽다			行く	가다	5	11111	인간			이/가							462	11224	세계	하늘나라	天国	에/에게/로						
79	0	18		4	pv-i	소모되다			かかる	가다	1925	122128113	헛수고	손	手間	이/가							1936	1221282	직업적인 일	일	仕事	에/로						
80	0	18		4	pv-i	소모되다			かかる	가다	1925	122128113	헛수고	손	手間	이/가							763	1132212	상품	물건	商品	에/로						
81	0	18		4	pv-i	소모되다			かかる	가다	1925	122128113	헛수고	손	手間	이/가							838	113225	식료	식료	食料	에/로						
82	0	19		16	pv-i	이르다/도달하다				가다	2587	12372	양	무게	重さ	이/가							2587	12372	양	kg	キログラム	에/에게/로						
83	0	19		16	pv-i	이르다/도달하다				가다	2587	12372	양	무게	重さ	이/가							2660	1238B3	사이	중간	中間	에/에게/로						
84	0	19		16	pv-i	이르다/도달하다				가다	2587	12372	양	무게	重さ	이/가							2663	1238C2	근	근처	近所	에/에게/로						
85	0	19		16	pv-i	이르다/도달하다			行く	가다	1503	122119121	발언	이야기	話し	이/가							2616	123831	점(장소)	끝	終わり	에/에게/로						
86	0	19		16	pv-i	이르다/도달하다			達する	가다	2441	12325	등급	순위	順位	이/가							2441	12325	등급	수준	水準	에/에게/로						
87	0	19		16	pv-i	이르다/도달하다			達する	가다	2441	12325	등급	순위	順位	이/가							2616	123831	점(장소)	끝	終わり	에/에게/로						
88	0	19		16	pv-i	이르다/도달하다			達する	가다	2441	12325	등급	순위	順位	이/가							2660	1238B3	사이	중간	中間	에/에게/로						
89	0	19		16	pv-i	이르다/도달하다			達する	가다	2441	12325	등급	순위	順位	이/가							2663	1238C2	근	근처	近所	에/에게/로						
90	0	19		16	pv-i	이르다/도달하다			達する	가다	2502	123443	능력	실력	実力	이/가							2441	12325	등급	수준	水準	에/에게/로						
91	0	19		16	pv-i	이르다/도달하다			達する	가다	2502	123443	능력	실력	実力	이/가							2616	123831	점(장소)	끝	終わり	에/에게/로						
92	0	19		16	pv-i	이르다/도달하다			達する	가다	2502	123443	능력	실력	実力	이/가							2660	1238B3	사이	중간	中間	에/에게/로						
93	0	19		16	pv-i	이르다/도달하다			達する	가다	2502	123443	능력	실력	実力	이/가							2663	1238C2	근	근처	近所	에/에게/로						
94	0	20		17	pv-i	배분되다			渡る・行く	가다	1190	12121273	금전	돈	金	이/가																		
95	0	20		17	pv-i	배분되다			渡る・行く	가다	1936	1221282	직업적인 일	일	仕事	이/가																		
96	0	23		8	pv-i	당하다			行く	가다	1891	12212782	손실	피해	被害	이/가	374	1112211	기업	회사	会社	에게/에게로												
97	0	23		8	pv-i	당하다			行く	가다	1891	12212782	손실	피해	被害	이/가	73	1111131	가족	가족	家族	에게/에게로												
98	0	1	122225911	19	pv-t	이동하다		到,去,上,往,走	引越しをする	가다	5	11111	인간			이/가	1472	122118118	관람	구경	見物	을/를												
99	0	1	122225911	19	pv-t	이동하다		到,去,上,往,走	引越しをする	가다	5	11111	인간			이/가	1598	12212236	이사	이민	移民	을/를												
100	0	1	122225911	19	pv-t	이동하다		到,去,上,往,走	引越しをする	가다	5	11111	인간			이/가	1598	12212236	이사	이사	引越し	을/를												
101	0	1	122225911	19	pv-t	이동하다		到,去,上,往,走	引越しをする	가다	5	11111	인간			이/가	1630	12212323	전임	전근	転勤	을/를												
102	0	1	122225911	19	pv-t	이동하다		到,去,上,往,走	引越しをする	가다	5	11111	인간			이/가	1636	122123312	재학	유학	留学	을/를												
103	0	1	122225911	19	pv-t	이동하다		到,去,上,往,走	引越しをする	가다	5	11111	인간			이/가	1659	12212411	여행	여행	旅行	을/를												
104	0	1	122225911	19	pv-t	이동하다		到,去,上,往,走	引越しをする	가다	5	11111	인간			이/가	2160	122225631	도망	도망	逃亡	을/를												
105	0	1	122225911	19	pv-t	이동하다		到,去,上,往,走	引越しをする	가다	5	11111	인간			이/가	2160	122225631	도망	망명	亡命	을/를												
106	0	1	122225911	19	pv-t	이동하다		到,去,上,往,走	引越しをする	가다	5	11111	인간			이/가	2184	12222611	나가기	출장	出張	을/를												
107	0	0		5	unknown				行く	가다	1936	1221282	직업적인 일	일	仕事	에	591	11311231	손/팔	손	手	이												
108	0	0		5	unknown				行く	가다	763	1132212	상품	물건	商品	에	591	11311231	손/팔	손	手	이												
109	0	0		5	unknown	마음에 맞아 자주 찾다			行く	가다	838	113225	식료	식료	食料	에	591	11311231	손/팔	손	手	이												
110	0	0		13	unknown	참가하다			行く	가다	5	11111	인간			이/가							1232	12123341	집회	모임	会合	에/에게/로						
111	0	0		13	unknown	참가하다			行く	가다	5	11111	인간			이/가							378	1112215	회	동창회	同窓会	에/에게/로						
112	0	0		14	unknown	다니다			務める・通う	가다	5	11111	인간			이/가							405	112114	학교	학교	学校	에/에게/로						
113	0	0		20	unknown				嫁に行く	가다	5	11111	인간			이/가	1651	122123441	결혼	장가	結婚	을/를												
114	0	0		20	unknown				嫁に行く	가다	5	11111	인간			이/가	49	11111212	여자	시집	夫の実家	을/를												
115	0	0		21	unknown	이동하다			行く	가다	5	11111	인간			이/가	460	11222	지역(인간활동)	장소	場所	을/를												
116	0	0			idiom		인간이 바른 길을 가다			가다																								
117	0	0			idiom		인간이 바른 길을 가다			가다																								
118	0	0			idiom		인간이 정도를 가다			가다																								
119	0	0			idiom		인간이 정도를 가다			가다																								
120	0	1	122126212	1	pv-t			教	教える	가르치다	5	11111	인간			이/가	5	11111	인간			을/를												
121	0	1	122126212	2	pv-t			教	教える	가르치다	5	11111	인간			이/가	1006	1211112	학문분야/학과	과목	科目	을/를												
122	0	1	122126212	2	pv-t			教	教える	가르치다	5	11111	인간			이/가	1035	121113E	방법	방법	方法	을/를												
123	0	1	122126212	2	pv-t			教	教える	가르치다	5	11111	인간			이/가	1064	1211311	언어<언어(내용)>	말	言葉	을/를												
124	0	1	122126212	2	pv-t			教	教える	가르치다	5	11111	인간			이/가	971	11322823	컴퓨터	컴퓨터	コンピュータ	을/를												
125	0	1	122126212	3	pv-t	버릇을 고치게 혼내다		教	しごく	가르치다	5	11111	인간			이/가	2489	1234114	습성	버릇	癖	을/를												
126	0	1	122126212	4	pv-t			教	教える	가르치다	1028	1211137	의미	사실	事実	이/가	1811	122126215	훈계	교훈	教訓	을/를												
127	0	1	122126212	4	pv-t			教	教える	가르치다	1046	1211215	기록(내용)	역사	歴史	이/가	1811	122126215	훈계	교훈	教訓	을/를												
128	0	1	122126212	4	pv-t			教	教える	가르치다	2059	1222114	사고<재난>	사건	事件	이/가	1811	122126215	훈계	교훈	教訓	을/를												
129	0	2	12212723	2	pv-t				持つ	가지다	5	11111	인간			이/가	1238	122111	마음	의식	意識	을/를												
130	0	2	12212723	2	pv-t				持つ	가지다	5	11111	인간			이/가	1238	122111	마음	인내심	忍耐心	을/를												
131	0	2	12212723	2	pv-t				持つ	가지다	5	11111	인간			이/가	1352	1221151	의지<의향>	욕구	欲求	을/를												
132	0	2	12212723	2	pv-t				持つ	가지다	5	11111	인간			이/가	1363	12211542	희망	대망	大望	을/를												
133	0	2	12212723	2	pv-t				持つ	가지다	5	11111	인간			이/가	1399	12211722	확신	확신	確信	을/를												
134	0	2	12212723	2	pv-t				持つ	가지다	5	11111	인간			이/가	1404	12211733	관심	관심	関心	을/를												
135	0	2	12212723	2	pv-t				持つ	가지다	5	11111	인간			이/가	2456	123342	목적	목표	目標	을/를												
136	0	4	12212721	5	pv-t	거느리다			持つ	가지다	374	1112211	기업	회사	会社	이/가	431	1121221	본점/지점	지점	支店	을/를												
137	0	4	12212721	5	pv-t	거느리다			持つ	가지다	5	11111	인간			이/가	143	111114222	아랫사람	부하	部下	을/를												
138	0	4	12212721	5	pv-t	거느리다			持つ	가지다	5	11111	인간			이/가	431	1121221	본점/지점	지점	支店	을/를												
139	0	5	1233,2053	6	pv-t	실시하다			行う・開く	가지다	5	11111	인간			이/가	1224	1212331	의식	식	式	을/를												
140	0	5	1233,2053	6	pv-t	실시하다			行う・開く	가지다	5	11111	인간			이/가	1232	12123341	집회	대회	大会	을/를												
141	0	6	123372	8	pv-t	관계를 맺다			持つ	가지다	5	11111	인간			이/가	1683	12212511	사귐	관계	関係	을/를												
142	0	6	123372	8	pv-t	관계를 맺다			持つ	가지다	5	11111	인간			이/가	2467	123372	연결	유대	連体	을/를												
143	0	7		4	pv-t	잉태하다			できる・持つ	가지다	5	11111	인간			이/가	54	11111222	소년/소녀	아이	子供	을/를												
144	0	7		4	pv-t	잉태하다			できる・持つ	가지다	5	11111	인간			이/가	86	11111341	자녀	자식	息子	을/를												
145	0	7		4	pv-t	잉태하다			できる・持つ	가지다	534	1131	생물			이/가	86	11111341	자녀	새끼	子	을/를												
146	0	8		7	pv-t	사용하다			持つ	가지다	5	11111	인간			이/가	917	11322721	문구<문구/장난감/etc>	자	定規	을/를												
147	0	8		7	pv-t	사용하다			持つ	가지다	5	11111	인간			이/가	943	113227412	칼	낫	斧	을/를												
148	0	0		3	unknown				持つ	가지다	5	11111	인간			이/가	1166	12121141	권리	권리	権利	을/를												
149	0	0		3	unknown				持つ	가지다	5	11111	인간			이/가	2336	122311125	힘(물상)	효력	効力	을/를												
150	0	0			idiom		인간이 관계를 가지다			가지다																								
151	0	0			idiom		인간이 관계를 가지다			가지다																								
152	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	1189	12121272	재산	재산	財産	을/를	447	112132	기타 거주시설	집	家	(에)						
153	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	1189	12121272	재산	재산	財産	을/를	865	11322611	가옥(본체)	별장	別荘	(에)						
154	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	1189	12121272	재산	재산	財産	을/를	868	1132261211	방	지하실	地下室	(에)						
155	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	552	113112	동물(부분)	몸	体	을/를				다락		(에)						
156	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	552	113112	동물(부분)	몸	体	을/를	457	11217	기타 시설	창고	倉庫	(에)						
157	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	552	113112	동물(부분)	몸	体	을/를	481	1123111127	동굴	동굴	洞窟	(에)						
158	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	552	113112	동물(부분)	몸	体	을/를	513	112312111	삼림	숲	森	(에)						
159	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	552	113112	동물(부분)	몸	体	을/를	868	1132261211	방	지하실	地下室	(에)						
160	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	552	113112	동물(부분)	몸	体	을/를	899	113227114	장<가구>	벽장	押し入れ	(에)						
161	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	766	1132215	보물	보물	宝物	을/를				다락		(에)						
162	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	766	1132215	보물	보물	宝物	을/를	447	112132	기타 거주시설	집	家	(에)						
163	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	766	1132215	보물	보물	宝物	을/를	457	11217	기타 시설	창고	倉庫	(에)						
164	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	766	1132215	보물	보물	宝物	을/를	481	1123111127	동굴	동굴	洞窟	(에)						
165	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	766	1132215	보물	보물	宝物	을/를	513	112312111	삼림	숲	森	(에)						
166	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	766	1132215	보물	보물	宝物	을/를	821	11322422	의복(부분)	주머니	ポケット	(에)						
167	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	766	1132215	보물	보물	宝物	을/를	865	11322611	가옥(본체)	별장	別荘	(에)						
168	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	766	1132215	보물	보물	宝物	을/를	868	1132261211	방	지하실	地下室	(에)						
169	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	766	1132215	보물	보물	宝物	을/를	899	113227114	장<가구>	벽장	押し入れ	(에)						
170	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	766	1132215	보물	보물	宝物	을/를	908	113227134	봉투	가방	カバン	(에)						
171	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	768	1132217	짐	짐	荷物	을/를				다락		(에)						
172	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	768	1132217	짐	짐	荷物	을/를	447	112132	기타 거주시설	집	家	(에)						
173	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	768	1132217	짐	짐	荷物	을/를	457	11217	기타 시설	창고	倉庫	(에)						
174	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	768	1132217	짐	짐	荷物	을/를	481	1123111127	동굴	동굴	洞窟	(에)						
175	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	768	1132217	짐	짐	荷物	을/를	513	112312111	삼림	숲	森	(에)						
176	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	768	1132217	짐	짐	荷物	을/를	865	11322611	가옥(본체)	별장	別荘	(에)						
177	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	768	1132217	짐	짐	荷物	을/를	868	1132261211	방	지하실	地下室	(에)						
178	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	768	1132217	짐	짐	荷物	을/를	899	113227114	장<가구>	벽장	押し入れ	(에)						
179	0	0	2077,2081	1	pv-t	안보이게 하다			隠す	감추다	5	11111	인간			이/가	768	1132217	짐	짐	荷物	을/를	899	113227114	장<가구>	옷장	箪笥	(에)						
